source,exact,comment,tags
https://caselaw.nationalarchives.gov.uk/ewca/crim/2007/2215,"he offender declined to answer questions when first interviewed on 23rd January 2006. He was re-interviewed on 22nd September 2006, when he admitted that he had been involved in a disturbance, claimed that he had been assaulted and then declined to 'go into any more detail'. He denied carrying or using a knife.",during interviews,['PleaPoint']
https://caselaw.nationalarchives.gov.uk/ewca/crim/2007/2215,"when he admitted that he had been involved in a disturbance, claimed that he had been assaulted and then declined to 'go into any more detail'. He denied carrying or using a knife.","admitted to a disturbance, but not an assault with a weapon",['Confess/Plead']
https://caselaw.nationalarchives.gov.uk/ewca/crim/2007/2215,"We quash the sentence that was passed and, giving a small discount for double jeopardy, we substitute for it a sentence of five-and-a-half years' imprisonment.",allowed and sentence replaced with more excessive sentence,['AppealOutcome']
https://caselaw.nationalarchives.gov.uk/ewca/crim/2007/2215,the sentence failed to reflect the gravity of the offence and the public concern about offences of this nature.,,['ReasonSentLenientNotExcess']
https://caselaw.nationalarchives.gov.uk/ewca/crim/2007/2215,sentence is unduly lenient having regard to the aggravating features of the case to which we have made reference.,sentence unduly lenient with regard to the aggravating factors involved ,"['AppealGround', 'ReasonSentLenientNotExcess']"
https://caselaw.nationalarchives.gov.uk/ewca/crim/2007/2215,excellent character references.,,['MitFactSent']
https://caselaw.nationalarchives.gov.uk/ewca/crim/2007/2215,the offender has served in the British Army and has served his country well in Bosnia and other places,,['MitFactSent']
https://caselaw.nationalarchives.gov.uk/ewca/crim/2007/2215,The offender has a previous conviction for unlawful wounding in similar circumstances.,,['AggFactSent']
https://caselaw.nationalarchives.gov.uk/ewca/crim/2007/2215,"The attack was unprovoked, late at night, and in a public place.",,['AggFactSent']
https://caselaw.nationalarchives.gov.uk/ewca/crim/2007/2215,"The offender raised the knife above his head and struck the victim in the face, where it was likely to cause significant and lasting damage.",,['AggFactSent']
https://caselaw.nationalarchives.gov.uk/ewca/crim/2007/2215,"(viii) The victim received a 6cm laceration to the left nostril and septum of his nose. He went to Huddersfield Hospital where he received emergency treatment including 12 sutures administered in two layers, one internally and one externally.",medical evidence,['ProsEvidTypeTrial']
https://caselaw.nationalarchives.gov.uk/ewca/crim/2007/2215,"offence was to some degree a premeditated attack, in which the offender used a knife, which he had no lawful excuse for possessing.",,['AggFactSent']
https://caselaw.nationalarchives.gov.uk/ewca/crim/2007/2215,medium risk of harm,,['PreSentReport']
https://caselaw.nationalarchives.gov.uk/ewca/crim/2007/2215,He continued to deny that he had ever carried or used a knife,,['DefEvidTypeTrial']
https://caselaw.nationalarchives.gov.uk/ewca/crim/2007/2215,The offender has two previous convictions,,['AggFactSent']
https://caselaw.nationalarchives.gov.uk/ewca/crim/2007/2215,"when he admitted that he had been involved in a disturbance, claimed that he had been assaulted",acted in self-defence as he had been assaulted,['DefEvidTypeTrial']
https://caselaw.nationalarchives.gov.uk/ewca/crim/2007/2215,He denied carrying or using a knife.,,['DefEvidTypeTrial']
https://caselaw.nationalarchives.gov.uk/ewca/crim/2007/2215,"Two independent witnesses, Peggy Callaghan and Pauline Cadogan, who were passing in a car saw a man walking away holding a knife with a 12"" blade concealed behind his back.",eyewitness,['ProsEvidTypeTrial']
https://caselaw.nationalarchives.gov.uk/ewca/crim/2007/2215,"The victim describes how he moved away, but was followed by the offender who continued to challenge him to fight",,['AggFactSent']
https://caselaw.nationalarchives.gov.uk/ewca/crim/2007/2215,"An independent witness, Anne Hirst, saw the offender walk towards the pub carrying a large carving knife with a 12' blade. She saw him raise his knife above his head and attack the victim, striking him in a downward direction to his face.",eyewitness testimony ,['ProsEvidTypeTrial']
https://caselaw.nationalarchives.gov.uk/ewca/crim/2007/2215,the offender and the victim were drinking,yes - drinking,['OffIntoxOffence']
https://caselaw.nationalarchives.gov.uk/ewca/crim/2007/2215,drank four pints of lager in two different public houses,yes - drinking,['VicIntoxOffence']
https://caselaw.nationalarchives.gov.uk/ewca/crim/2007/2215,He,male,['VicSex']
https://caselaw.nationalarchives.gov.uk/ewca/crim/2007/2215,photograph,,['ProsEvidTypeTrial']
https://caselaw.nationalarchives.gov.uk/ewca/crim/2007/2215,he attack was entirely unprovoked,,['AggFactSent']
https://caselaw.nationalarchives.gov.uk/ewca/crim/2007/2215,stab the victim in the face,,['AggFactSent']
https://caselaw.nationalarchives.gov.uk/ewca/crim/2007/2215,12-inch carving knife,,['AggFactSent']
https://caselaw.nationalarchives.gov.uk/ewca/crim/2007/2215,the offender and the victim,1,['VicNum']
https://caselaw.nationalarchives.gov.uk/ewca/crim/2007/2215,the offender and the victim were drinking in a public house in Huddersfield,individual person,['VictimType']
https://caselaw.nationalarchives.gov.uk/ewca/crim/2007/2215,pre-sentence report,,['PreSentReport']
https://caselaw.nationalarchives.gov.uk/ewca/crim/2007/2215,the offender and the victim were drinking in a public house in Huddersfield.,acquaintance ,['OffVicRelation']
https://caselaw.nationalarchives.gov.uk/ewca/crim/2007/2215,Bradford Crown Court,,"['ConvCourtName', 'SentCourtName']"
https://caselaw.nationalarchives.gov.uk/ewca/crim/2007/2215,3 years' imprisonment,,['Sentence']
https://caselaw.nationalarchives.gov.uk/ewca/crim/2007/2215,section 18 of the Offences Against the Person Act 1861,,['SentGuideWhich']
https://caselaw.nationalarchives.gov.uk/ewca/crim/2007/2215,wounding with intent,,['ConvictOffence']
