source,exact,comment,tags
https://caselaw.nationalarchives.gov.uk/ewca/crim/2009/86,He,Male,['OffSex']
https://caselaw.nationalarchives.gov.uk/ewca/crim/2009/86,notional determinate term of 12 years,,['Sentence']
https://caselaw.nationalarchives.gov.uk/ewca/crim/2009/86,We are not persuaded that it was manifestly excessive or wrong in principle,,['ReasonDismiss']
https://caselaw.nationalarchives.gov.uk/ewca/crim/2009/86,Sentencing Guidelines Council,,['SentGuideWhich']
https://caselaw.nationalarchives.gov.uk/ewca/crim/2009/86,"sentence of imprisonment for public protection which the judge imposed was wrong in principle and that a determinate sentence would have been sufficient; secondly, that the minimum term was too long",,['AppealGround']
https://caselaw.nationalarchives.gov.uk/ewca/crim/2009/86,leave to appeal against sentence must be dismissed,,['AppealOutcome']
https://caselaw.nationalarchives.gov.uk/ewca/crim/2009/86,appeal against conviction must be dismissed.,,['AppealOutcome']
https://caselaw.nationalarchives.gov.uk/ewca/crim/2009/86,we think that the learned judge was plainly entitled to exercise his discretion as he did,,['ReasonDismiss']
https://caselaw.nationalarchives.gov.uk/ewca/crim/2009/86,the judge erred in allowing the application by the Crown to adduce the evidence of AW,,['AppealGround']
https://caselaw.nationalarchives.gov.uk/ewca/crim/2009/86,the learned judge ought to have allowed the evidence of CS,,['AppealGround']
https://caselaw.nationalarchives.gov.uk/ewca/crim/2009/86,section 114(1)(d) of the Criminal Justice Act 2003,,['SentGuideWhich']
https://caselaw.nationalarchives.gov.uk/ewca/crim/2009/86,student,,['OffJobOffence']
https://caselaw.nationalarchives.gov.uk/ewca/crim/2009/86,appellant gave evidence in his own defence,,['DefEvidTypeTrial']
https://caselaw.nationalarchives.gov.uk/ewca/crim/2009/86,witness,,['ProsEvidTypeTrial']
https://caselaw.nationalarchives.gov.uk/ewca/crim/2009/86,The complainant,Individual,['VictimType']
https://caselaw.nationalarchives.gov.uk/ewca/crim/2009/86,The complainant,1 of 1,['VicNum']
https://caselaw.nationalarchives.gov.uk/ewca/crim/2009/86,She,Female,['VicSex']
https://caselaw.nationalarchives.gov.uk/ewca/crim/2009/86,complainant was a prostitute,Unemployed,['VicJobOffence']
https://caselaw.nationalarchives.gov.uk/ewca/crim/2009/86,rulings of the learned judge in relation to the admissibility of evidence,,['AppealGround']
https://caselaw.nationalarchives.gov.uk/ewca/crim/2009/86,Appellant,Offender,['Appellant']
https://caselaw.nationalarchives.gov.uk/ewca/crim/2009/86,against those convictions,,['AppealAgainst']
https://caselaw.nationalarchives.gov.uk/ewca/crim/2009/86,rape,,['ConvictOffence']
https://caselaw.nationalarchives.gov.uk/ewca/crim/2009/86,Crown Court at Maidstone,,"['ConvCourtName', 'SentCourtName']"
https://caselaw.nationalarchives.gov.uk/ewca/crim/2009/86,16th November 2007,,['ConvictPleaDate']
https://caselaw.nationalarchives.gov.uk/ewca/crim/2007/1914,leave to appeal against the conviction,Other,['AppealAgainst']
https://caselaw.nationalarchives.gov.uk/ewca/crim/2007/1914,APPLICANT,Offender,['Appellant']
https://caselaw.nationalarchives.gov.uk/ewca/crim/2007/1914,"an essential element of the offence is that the public should have been outraged, not simply one individual",,['AppealGround']
https://caselaw.nationalarchives.gov.uk/ewca/crim/2007/1914,We do not consider that the material before this Court could in any way justify the conclusion that the plea was one which should be vacated,,['ReasonDismiss']
https://caselaw.nationalarchives.gov.uk/ewca/crim/2007/1914,He,Male,['OffSex']
https://caselaw.nationalarchives.gov.uk/ewca/crim/2007/1914,open to public view,,['AggFactSent']
https://caselaw.nationalarchives.gov.uk/ewca/crim/2007/1914,a woman,Individual,['VictimType']
https://caselaw.nationalarchives.gov.uk/ewca/crim/2007/1914,a woman,1 of 1,['VicNum']
https://caselaw.nationalarchives.gov.uk/ewca/crim/2007/1914,woman,Female,['VicSex']
https://caselaw.nationalarchives.gov.uk/ewca/crim/2007/1914,a woman walked past,Stranger,['OffVicRelation']
https://caselaw.nationalarchives.gov.uk/ewca/crim/2007/1914,application is refused,,['AppealOutcome']
https://caselaw.nationalarchives.gov.uk/ewca/crim/2007/1914,CCTV,,['ProsEvidTypeTrial']
https://caselaw.nationalarchives.gov.uk/ewca/crim/2007/1914,police,Police evidence,['ProsEvidTypeTrial']
https://caselaw.nationalarchives.gov.uk/ewca/crim/2007/1914,3 years' imprisonment,,['Sentence']
https://caselaw.nationalarchives.gov.uk/ewca/crim/2007/1914,outraging public decency,,['ConvictOffence']
https://caselaw.nationalarchives.gov.uk/ewca/crim/2007/1914,pleaded guilty,,['Confess/Plead']
https://caselaw.nationalarchives.gov.uk/ewca/crim/2007/1914,Crown Court at Chester,,"['ConvCourtName', 'SentCourtName']"
https://caselaw.nationalarchives.gov.uk/ewca/crim/2007/1914,9th October 2006,,['ConvictPleaDate']
https://caselaw.nationalarchives.gov.uk/ewca/crim/2006/773,"No sentencing has taken place because it is presently contemplated that, in any event, the Crown will seek a retrial of the appellant in relation to manslaughter.",,['Sentence']
https://caselaw.nationalarchives.gov.uk/ewca/crim/2006/773,prosecution witnesses,,['ProsEvidTypeTrial']
https://caselaw.nationalarchives.gov.uk/ewca/crim/2006/773,she denied having responsibility,Offender denies offence,['DefEvidTypeTrial']
https://caselaw.nationalarchives.gov.uk/ewca/crim/2006/773,"seven victims who had, sadly, died",Individual,['VictimType']
https://caselaw.nationalarchives.gov.uk/ewca/crim/2006/773,seven victims,7,['VicNum']
https://caselaw.nationalarchives.gov.uk/ewca/crim/2006/773,she,Female,['OffSex']
https://caselaw.nationalarchives.gov.uk/ewca/crim/2006/773,"the judge should not have permitted the case to go to the jury and should have acceded to the submission of ""no case""",,['AppealGround']
https://caselaw.nationalarchives.gov.uk/ewca/crim/2006/773,no case to answer,,['DefEvidTypeTrial']
https://caselaw.nationalarchives.gov.uk/ewca/crim/2006/773,"In the absence of such a direction, we cannot be sure that the jury's verdict on count 9 would necessarily have been the same",,['ReasonQuashConv']
https://caselaw.nationalarchives.gov.uk/ewca/crim/2006/773,appeal must be allowed and the conviction on count 9 will be quashed,,['AppealOutcome']
https://caselaw.nationalarchives.gov.uk/ewca/crim/2006/773,employed,,['OffJobOffence']
https://caselaw.nationalarchives.gov.uk/ewca/crim/2006/773,Health and Safety at Work Act,,['SentGuideWhich']
https://caselaw.nationalarchives.gov.uk/ewca/crim/2006/773,section 3 of the Health and Safety at Work Act 1974,,['SentGuideWhich']
https://caselaw.nationalarchives.gov.uk/ewca/crim/2006/773,appeals against conviction,,['AppealAgainst']
https://caselaw.nationalarchives.gov.uk/ewca/crim/2006/773,co-accused,,['Co-defendants/co-accused']
https://caselaw.nationalarchives.gov.uk/ewca/crim/2006/773,Copy link to this paragraphThe co-accused,1,['CoDefAccNum']
https://caselaw.nationalarchives.gov.uk/ewca/crim/2006/773,APPELLANT,Offender,['Appellant']
https://caselaw.nationalarchives.gov.uk/ewca/crim/2006/773,section 7 of the Health and Safety at Work Act 1974,,['SentGuideWhich']
https://caselaw.nationalarchives.gov.uk/ewca/crim/2006/773,failing to discharge a duty,,['ConvictOffence']
https://caselaw.nationalarchives.gov.uk/ewca/crim/2006/773,Preston Crown Court,,"['ConvCourtName', 'SentCourtName']"
https://caselaw.nationalarchives.gov.uk/ewca/crim/2006/773,21st April 2005,,['ConvictPleaDate']
https://caselaw.nationalarchives.gov.uk/ewca/crim/2005/2826,"licensee, Russell Cleverley, had been robbed",4 of 5,['VicNum']
https://caselaw.nationalarchives.gov.uk/ewca/crim/2005/2826,"at the complainant, knocking him over",3 of 5,['VicNum']
https://caselaw.nationalarchives.gov.uk/ewca/crim/2005/2826,Robert Flint,1 of 5,['VicNum']
https://caselaw.nationalarchives.gov.uk/ewca/crim/2005/2826,the victim, 5 of 5,['VicNum']
https://caselaw.nationalarchives.gov.uk/ewca/crim/2005/2826,"none of the individual complaints, taken on its own, impugns the safety of these convictions",,['ReasonDismiss']
https://caselaw.nationalarchives.gov.uk/ewca/crim/2005/2826,Accordingly the appeals are dismissed.,,['AppealOutcome']
https://caselaw.nationalarchives.gov.uk/ewca/crim/2005/2826,s 100 of the Criminal Justice Act 2003,,['SentGuideWhich']
https://caselaw.nationalarchives.gov.uk/ewca/crim/2005/2826,licensee,Employed,['VicJobOffence']
https://caselaw.nationalarchives.gov.uk/ewca/crim/2005/2826,£200 in cash f,Financial gain/value,['AggFactSent']
