user,source,exact,comment,tags
acct:CharisBechan1@hypothes.is,https://caselaw.nationalarchives.gov.uk/ewca/crim/2018/1766,"He spoke of suffering from depression, stress and anxiety. He had previously been prescribed anti-depressants.",,['VicMentalOffence']
acct:CharisBechan1@hypothes.is,https://caselaw.nationalarchives.gov.uk/ewca/crim/2018/1766,"He spoke of suffering from depression, stress and anxiety.",-,['OffMentalOffence']
acct:CharisBechan1@hypothes.is,https://caselaw.nationalarchives.gov.uk/ewca/crim/2018/1766,on the day of sentence the offender also pleaded guilty to that charge.,"ConvictPleaDate 2.
16th March 2018.",['ConvictPleaDate']
acct:CharisBechan1@hypothes.is,https://caselaw.nationalarchives.gov.uk/ewca/crim/2018/1766,He pleaded guilty to the offence of causing grievous bodily harm with intent at the plea and trial preparation hearing on 29 January 2018.,After first appearance at plea and trial preparation hearing on 29 January 2018.,"['Confess/Plead', 'PleaPoint']"
acct:CharisBechan1@hypothes.is,https://caselaw.nationalarchives.gov.uk/ewca/crim/2018/1766,"Count 1, causing grievous bodily harm with intent, contrary to section 18 of the Offences Against the Person Act 1861, 64 months; count 2, assault by beating, contrary to section 39 of the Criminal Justice Act 1988,",,['ConvictOffence']
acct:CharisBechan1@hypothes.is,https://caselaw.nationalarchives.gov.uk/ewca/crim/2018/1766,pre-sentence report in respect of the offender.,,['DefEvidTypeTrial']
acct:CharisBechan1@hypothes.is,https://caselaw.nationalarchives.gov.uk/ewca/crim/2018/1766,photographs,,['ProsEvidTypeTrial']
acct:CharisBechan1@hypothes.is,https://caselaw.nationalarchives.gov.uk/ewca/crim/2018/1766,"She submits that for these reasons the judge erred in placing the offending in Category 2. Overall it was a Category 1 offence and marked by a number of aggravating factors to which the judge gave insufficient weight. In particular, first, the offences had been committed while the offender was under the influence of alcohol; second, the violence had been inflicted in the victim's home in front of children and in the case of count 2 against a child; third, there was the ongoing effect on the victims who had been forced to leave their home, each one of which is identified as an aggravating feature under the guidelines. Finally, she submitted that it was wrong to give full credit for a plea at the plea and trial preparation hearing. It should have been 25 per cent.",-,['AppealGround']
acct:CharisBechan1@hypothes.is,https://caselaw.nationalarchives.gov.uk/ewca/crim/2018/1766,unduly lenient.,"Presence of offenders children
Committed against another child
Intoxication
Vulnerable victim
Previous convictions
Untruthful statement
Sustained attack/nature",['ReasonSentLenient']
acct:CharisBechan1@hypothes.is,https://caselaw.nationalarchives.gov.uk/ewca/crim/2018/1766,number of aggravating circumstances,"Presence of offenders children
Committed against another child
Intoxication
Vulnerable victim
Previous convictions
Untruthful statement
Sustained attack/nature",['AggFactSent']
acct:CharisBechan1@hypothes.is,https://caselaw.nationalarchives.gov.uk/ewca/crim/2018/1766,"we consider that the least sentence that should have been passed was a term of seven-and-a-half years and the sentence passed on count 1 was unduly lenient. Accordingly, we grant leave to the Solicitor General, we quash the sentence five years and four months and substitute a term of seven-and-a-half years on count 1. The sentence on count 2 will remain unaffected.",,['AppealOutcome']
acct:CharisBechan1@hypothes.is,https://caselaw.nationalarchives.gov.uk/ewca/crim/2018/1766,"we consider that the least sentence that should have been passed was a term of seven-and-a-half years and the sentence passed on count 1 was unduly lenient. Accordingly, we grant leave to the Solicitor General, we quash the sentence five years and four months and substitute a term of seven-and-a-half years on count 1. The sentence on count 2 will remain unaffected.",New sentence terms.,['Sentence']
acct:CharisBechan1@hypothes.is,https://caselaw.nationalarchives.gov.uk/ewca/crim/2018/1766,mitigating factor,"Offender showed (genuine) remorse,Offender mental ilness, Offender sole/primary carer for children",['MitFactSent']
acct:CharisBechan1@hypothes.is,https://caselaw.nationalarchives.gov.uk/ewca/crim/2018/1766,case had been adjourned for preparation of a pre-sentence report,Yes.,['PreSentReportNew']
acct:CharisBechan1@hypothes.is,https://caselaw.nationalarchives.gov.uk/ewca/crim/2018/1766,Category 2 of the Sentencing Council Definitive Guideline for Assault.,,['SentGuideWhich']
acct:CharisBechan1@hypothes.is,https://caselaw.nationalarchives.gov.uk/ewca/crim/2018/1766,Category 2 of the Sentencing Council Definitive Guideline for Assault.,,['SentencingGuideline']
acct:CharisBechan1@hypothes.is,https://caselaw.nationalarchives.gov.uk/ewca/crim/2018/1766,medium risk of re-offending and a medium risk of harm in the form of physical violence,...medium risk of re-offending and a medium risk of harm in the form of physical violence...,['PreSentReport']
acct:CharisBechan1@hypothes.is,https://caselaw.nationalarchives.gov.uk/ewca/crim/2018/1766,19 December 2017.,ConvictPleaDate 1.,['ConvictPleaDate']
acct:CharisBechan1@hypothes.is,https://caselaw.nationalarchives.gov.uk/ewca/crim/2018/1766,first appearance was at Bristol Magistrates' Court,,['ConvCourtName']
acct:CharisBechan1@hypothes.is,https://caselaw.nationalarchives.gov.uk/ewca/crim/2018/1766,first appearance was at Bristol Magistrates' Court,,['ConvCourtType']
acct:CharisBechan1@hypothes.is,https://caselaw.nationalarchives.gov.uk/ewca/crim/2018/1766,victim personal statement dated 15 March 2018 which she read to the court.,,['VicImpactStatement']
acct:CharisBechan1@hypothes.is,https://caselaw.nationalarchives.gov.uk/ewca/crim/2018/1766,"offender's two sons,",Had children.,['OffDependsOffence']
acct:CharisBechan1@hypothes.is,https://caselaw.nationalarchives.gov.uk/ewca/crim/2018/1766,flat on Hillside Road,Has fixed address.,['OffHomeOffence']
acct:CharisBechan1@hypothes.is,https://caselaw.nationalarchives.gov.uk/ewca/crim/2018/1766,Both adults had been drinking alcohol.,,['OffIntoxOffence']
acct:CharisBechan1@hypothes.is,https://caselaw.nationalarchives.gov.uk/ewca/crim/2018/1766,seven-year-old daughter,,['VicDependsOffence']
acct:CharisBechan1@hypothes.is,https://caselaw.nationalarchives.gov.uk/ewca/crim/2018/1766,"L, aged seven",,['VicAgeOffence']
acct:CharisBechan1@hypothes.is,https://caselaw.nationalarchives.gov.uk/ewca/crim/2018/1766,Both adults had been drinking alcohol.,,['VicIntoxOffence']
acct:CharisBechan1@hypothes.is,https://caselaw.nationalarchives.gov.uk/ewca/crim/2018/1766,JAMES DAVID LLEWHELLIN,,['Apellent']
acct:CharisBechan1@hypothes.is,https://caselaw.nationalarchives.gov.uk/ewca/crim/2018/1766,"offender, James Llewhellin",,['OffSex']
acct:CharisBechan1@hypothes.is,https://caselaw.nationalarchives.gov.uk/ewca/crim/2018/1766,Crown Court,,['SentCourtType']
acct:CharisBechan1@hypothes.is,https://caselaw.nationalarchives.gov.uk/ewca/crim/2018/1766,seven-year-old daughter,Individual person.,['VictimType']
acct:CharisBechan1@hypothes.is,https://caselaw.nationalarchives.gov.uk/ewca/crim/2018/1766,"""L""",Number of Victims is 2.,['VicNum']
acct:CharisBechan1@hypothes.is,https://caselaw.nationalarchives.gov.uk/ewca/crim/2018/1766,living with the offender since August 2017 at his flat,Has fixed address.,['VicHomeOffence']
acct:CharisBechan1@hypothes.is,https://caselaw.nationalarchives.gov.uk/ewca/crim/2018/1766,"""L""",Both female.,['VicSex']
acct:CharisBechan1@hypothes.is,https://caselaw.nationalarchives.gov.uk/ewca/crim/2018/1766,16 March 2018,,['ConvictPleaDate']
acct:CharisBechan1@hypothes.is,https://caselaw.nationalarchives.gov.uk/ewca/crim/2018/1766,Bristol,,['SentCourtName']
acct:CharisBechan1@hypothes.is,https://caselaw.nationalarchives.gov.uk/ewca/crim/2003/2243,concurrent,,['keyword']
acct:CharisBechan1@hypothes.is,https://caselaw.nationalarchives.gov.uk/ewca/crim/2003/2243,"fine of £200,000 was manifestly excessive for this single offence, particularly when measured against the total fines of £80,000 in the Yorkshire Water case",,['RSE_is']
acct:CharisBechan1@hypothes.is,https://caselaw.nationalarchives.gov.uk/ewca/crim/2003/2243,"fine of £200,000 was manifestly excessive for this single offence, particularly when measured against the total fines of £80,000 in the Yorkshire Water case.",Appeal Court Basis Given for Why Sentence is/is not Unduly Excessive,['ReasonSentExcess']
acct:CharisBechan1@hypothes.is,https://caselaw.nationalarchives.gov.uk/ewca/crim/2003/2243,"this appeal is allowed and a fine of £60,000 will be substituted for the fine of £200,000 imposed in the Crown Court.",Allowed&Sentence Replaced by More Lenient Sentence.,['AppealOutcome']
acct:CharisBechan1@hypothes.is,https://caselaw.nationalarchives.gov.uk/ewca/crim/2003/2243,manifestly excessive,,['AppealAgainst']
acct:CharisBechan1@hypothes.is,https://caselaw.nationalarchives.gov.uk/ewca/crim/2003/2243,"fine of £200,000 was manifestly excessive for this single offence, particularly when measured against the total fines of £80,000 in the Yorkshire Water case.",,['AppealGround']
