user,source,exact,comment,tags
acct:vah@hypothes.is,https://caselaw.nationalarchives.gov.uk/ewca/crim/2003/2243,"fine of £200,000 was manifestly excessive for this single offence, particularly when measured against the total fines of £80,000 in the Yorkshire Water case.",RSE_is,['RSE_is']
acct:vah@hypothes.is,https://caselaw.nationalarchives.gov.uk/ewca/crim/2003/2243,"fine of £200,000 was manifestly excessive for this single offence, particularly when measured against the total fines of £80,000 in the Yorkshire Water case.",Previous case,['ReasonSentExcess']
acct:vah@hypothes.is,https://caselaw.nationalarchives.gov.uk/ewca/crim/2003/2243,"this appeal is allowed and a fine of £60,000 will be substituted for the fine of £200,000 imposed in the Crown Court.",Allowed&Sentence Replaced by More Lenient Sentence,['AppealOutcome']
acct:vah@hypothes.is,https://caselaw.nationalarchives.gov.uk/ewca/crim/2003/2243,"fine of £200,000 was manifestly excessive for this single offence, particularly when measured against the total fines of £80,000 in the Yorkshire Water case.",AppealGround,['AppealGround']
acct:vah@hypothes.is,https://caselaw.nationalarchives.gov.uk/ewca/crim/2003/2243,the fine was manifestly excessive,excessive fine,['AppealAgainst']
acct:vah@hypothes.is,https://caselaw.nationalarchives.gov.uk/ewca/crim/2003/2243,Anglian Water Services Ltd,Anglian Water Services Ltd,['Appellant']
acct:vah@hypothes.is,https://caselaw.nationalarchives.gov.uk/ewca/crim/2003/2243,he judge described the appellant’s failure as grossly irresponsible.,AggFactSent,['AggFactSent']
acct:vah@hypothes.is,https://caselaw.nationalarchives.gov.uk/ewca/crim/2003/2243,The river had recovered 24 hours later and this was due to the prompt remedial action taken by the appellant,MitFactSent,['MitFactSent']
acct:vah@hypothes.is,https://caselaw.nationalarchives.gov.uk/ewca/crim/2003/2243,"no causative culpability. Because the de-threading of the bolt was an unforeseeable event, his client could not be faulted for failing to have taken steps to prevent it occurring. The offence was not a very serious example of a breach of section 85(3). It was of no economic effect on the public; its spatial and temporal effect was limited. The court should not treat every minor infringement of this legislation as if it was a major one.",,['DefEvidTypeTrial']
acct:vah@hypothes.is,https://caselaw.nationalarchives.gov.uk/ewca/crim/2003/2243,"was looking out of his office window, saw condoms and sewage floating down the river Crouch",Eye-witness testimony,['ProsEvidTypeTrial']
acct:vah@hypothes.is,https://caselaw.nationalarchives.gov.uk/ewca/crim/2003/2243,"a fine of £60,000 will be substituted for the fine of £200,000 imposed in the Crown Court","fine of £60,000",['Sentence']
acct:vah@hypothes.is,https://caselaw.nationalarchives.gov.uk/ewca/crim/2003/2243,Crown Court at Basildon,Crown Court,['SentCourtName']
acct:vah@hypothes.is,https://caselaw.nationalarchives.gov.uk/ewca/crim/2003/2243,Crown Court at Basildon,Crown Court at Basildon,['ConvCourtName']
acct:vah@hypothes.is,https://caselaw.nationalarchives.gov.uk/ewca/crim/2003/2243,Crown Court at Basildon,Crown Court,['ConvCourtType']
acct:vah@hypothes.is,https://caselaw.nationalarchives.gov.uk/ewca/crim/2003/2243,Crown Court,Crown Court,['ConvCourtType']
acct:vah@hypothes.is,https://caselaw.nationalarchives.gov.uk/ewca/crim/2003/2243,Crown Court at Basildon,Crown Court,['SentCourtType']
acct:vah@hypothes.is,https://caselaw.nationalarchives.gov.uk/ewca/crim/2003/2243,The magistrates committed the case to the Crown Court for sentence,at first court appearance,['PleaPoint']
acct:vah@hypothes.is,https://caselaw.nationalarchives.gov.uk/ewca/crim/2003/2243,appellant pleaded guilty,Yes,['Confess/Plead']
acct:vah@hypothes.is,https://caselaw.nationalarchives.gov.uk/ewca/crim/2003/2243,offence under section 85(3) of the Water Resources Act 1991 of causing sewage effluent to be discharged into the river Crouch,,['ConvictOffence']
acct:vah@hypothes.is,https://caselaw.nationalarchives.gov.uk/ewca/crim/2003/2243,27 January 2002,ConvictPleaDate,['ConvictPleaDate']
acct:vah@hypothes.is,https://caselaw.nationalarchives.gov.uk/ewca/crim/2016/52,doorman,Employed,['OffJobOffence']
acct:vah@hypothes.is,https://caselaw.nationalarchives.gov.uk/ewca/crim/2016/52,Charlton asked her and KP,Acquaintance,['OffVicRelation']
acct:vah@hypothes.is,https://caselaw.nationalarchives.gov.uk/ewca/crim/2016/52,Jane R gave a total of four statements.,Eyewitness,['ProsEvidTypeTrial']
acct:vah@hypothes.is,https://caselaw.nationalarchives.gov.uk/ewca/crim/2016/52,Elizabeth Williams made four statements.,Eyewitness,['ProsEvidTypeTrial']
acct:vah@hypothes.is,https://caselaw.nationalarchives.gov.uk/ewca/crim/2016/52,verdict in respect of the first Appellant is unsafe as an abuse of process,Verdict is unsafe,['AppealGround']
acct:vah@hypothes.is,https://caselaw.nationalarchives.gov.uk/ewca/crim/2016/52,credibility of a number of witnesses who gave evidence for the Crown is damaged to the extent that their testimony cannot be relied upon,Witness not credible,['AppealGround']
acct:vah@hypothes.is,https://caselaw.nationalarchives.gov.uk/ewca/crim/2016/52,police malfeasance,,['AppealGround']
acct:vah@hypothes.is,https://caselaw.nationalarchives.gov.uk/ewca/crim/2016/52,The legitimacy of the police investigation into the murder of Karen Price is damaged by new information not available at trial.,Investigation is damaged,['AppealGround']
acct:vah@hypothes.is,https://caselaw.nationalarchives.gov.uk/ewca/crim/2016/52,The court rejected all three,Rejected,['AppealOutcome']
acct:vah@hypothes.is,https://caselaw.nationalarchives.gov.uk/ewca/crim/2016/52,Fresh evidence suggested that KP might have died in 1982 not 1981,Victim was not killed in this crime,['DefEvidTypeTrial']
