publicationYear,citation,uri,row_id
2003,[2003] EWCA Crim 2668,https://caselaw.nationalarchives.gov.uk/ewca/crim/2003/2668,1387
2004,[2004] EWCA Crim 1358,https://caselaw.nationalarchives.gov.uk/ewca/crim/2004/1358,5334
2005,[2005] EWCA Crim 190,https://caselaw.nationalarchives.gov.uk/ewca/crim/2005/190,2045
2006,[2006] EWCA Crim 2203,https://caselaw.nationalarchives.gov.uk/ewca/crim/2006/2203,5217
2007,[2007] EWCA Crim 3227,https://caselaw.nationalarchives.gov.uk/ewca/crim/2007/3227,4934
2008,[2008] EWCA Crim 1662,https://caselaw.nationalarchives.gov.uk/ewca/crim/2008/1662,3116
2009,[2009] EWCA Crim 2689,https://caselaw.nationalarchives.gov.uk/ewca/crim/2009/2689,3266
2010,[2010] EWCA Crim 2260,https://caselaw.nationalarchives.gov.uk/ewca/crim/2010/2260,3985
2011,[2011] EWCA Crim 2598,https://caselaw.nationalarchives.gov.uk/ewca/crim/2011/2598,3441
2012,[2012] EWCA Crim 86,https://caselaw.nationalarchives.gov.uk/ewca/crim/2012/86,1084
2013,[2013] EWCA Crim 409,https://caselaw.nationalarchives.gov.uk/ewca/crim/2013/409,5037
2014,[2014] EWCA Crim 1421,https://caselaw.nationalarchives.gov.uk/ewca/crim/2014/1421,4532
2015,[2015] EWCA Crim 960,https://caselaw.nationalarchives.gov.uk/ewca/crim/2015/960,3411
2016,[2016] EWCA Crim 1841,https://caselaw.nationalarchives.gov.uk/ewca/crim/2016/1841,1446
2017,[2017] EWCA Crim 1276,https://caselaw.nationalarchives.gov.uk/ewca/crim/2017/1276,1334
2018,[2018] EWCA Crim 675,https://caselaw.nationalarchives.gov.uk/ewca/crim/2018/675,2785
2019,[2019] EWCA Crim 20,https://caselaw.nationalarchives.gov.uk/ewca/crim/2019/20,1439
2020,[2020] EWCA Crim 176,https://caselaw.nationalarchives.gov.uk/ewca/crim/2020/176,1585
2021,[2021] EWCA Crim 175,https://caselaw.nationalarchives.gov.uk/ewca/crim/2021/175,1326
2022,[2022] EWCA Crim 1310,https://caselaw.nationalarchives.gov.uk/ewca/crim/2022/1310,1508
2023,[2023] EWCA Crim 1557,https://caselaw.nationalarchives.gov.uk/ewca/crim/2023/1557,5024
2024,[2024] EWCA Crim 68,https://caselaw.nationalarchives.gov.uk/ewca/crim/2024/68,3290
2003,[2003] EWCA Crim 458,https://caselaw.nationalarchives.gov.uk/ewca/crim/2003/458,4909
2004,[2004] EWCA Crim 3446,https://caselaw.nationalarchives.gov.uk/ewca/crim/2004/3446,3083
2005,[2005] EWCA Crim 1284,https://caselaw.nationalarchives.gov.uk/ewca/crim/2005/1284,278
2006,[2006] EWCA Crim 3222,https://caselaw.nationalarchives.gov.uk/ewca/crim/2006/3222,3322
2007,[2007] EWCA Crim 1743,https://caselaw.nationalarchives.gov.uk/ewca/crim/2007/1743,3208
2008,[2008] EWCA Crim 1455,https://caselaw.nationalarchives.gov.uk/ewca/crim/2008/1455,3517
2009,[2009] EWCA Crim 160,https://caselaw.nationalarchives.gov.uk/ewca/crim/2009/160,3631
2010,[2010] EWCA Crim 2405,https://caselaw.nationalarchives.gov.uk/ewca/crim/2010/2405,3073
2011,[2011] EWCA Crim 1712,https://caselaw.nationalarchives.gov.uk/ewca/crim/2011/1712,3361
2012,[2012] EWCA Crim 1476,https://caselaw.nationalarchives.gov.uk/ewca/crim/2012/1476,2363
2013,[2013] EWCA Crim 1308,https://caselaw.nationalarchives.gov.uk/ewca/crim/2013/1308,1074
2014,[2014] EWCA Crim 1228,https://caselaw.nationalarchives.gov.uk/ewca/crim/2014/1228,601
2015,[2015] EWCA Crim 1328,https://caselaw.nationalarchives.gov.uk/ewca/crim/2015/1328,4042
2016,[2016] EWCA Crim 1631,https://caselaw.nationalarchives.gov.uk/ewca/crim/2016/1631,1165
2017,[2017] EWCA 1071 (Crim),https://caselaw.nationalarchives.gov.uk/ewca/crim/2017/1071,6142
2018,[2018] EWCA Crim 1755,https://caselaw.nationalarchives.gov.uk/ewca/crim/2018/1755,4517
2019,[2019] EWCA Crim 1961,https://caselaw.nationalarchives.gov.uk/ewca/crim/2019/1961,1052
2020,[2020] EWCA Crim 673,https://caselaw.nationalarchives.gov.uk/ewca/crim/2020/673,6125
2021,[2021] EWCA Crim 670,https://caselaw.nationalarchives.gov.uk/ewca/crim/2021/670,2207
2022,[2022] EWCA Crim 1259,https://caselaw.nationalarchives.gov.uk/ewca/crim/2022/1259,5903
2023,[2023] EWCA Crim 646,https://caselaw.nationalarchives.gov.uk/ewca/crim/2023/646,2836
2024,[2024] EWCA Crim 202,https://caselaw.nationalarchives.gov.uk/ewca/crim/2024/202,4138
2003,[2003] EWCA Crim 194,https://caselaw.nationalarchives.gov.uk/ewca/crim/2003/194,182
2004,[2004] EWCA Crim 1015,https://caselaw.nationalarchives.gov.uk/ewca/crim/2004/1015,2254
2005,[2005] EWCA Crim 1415,https://caselaw.nationalarchives.gov.uk/ewca/crim/2005/1415,3664
2006,[2006] EWCA Crim 1654,https://caselaw.nationalarchives.gov.uk/ewca/crim/2006/1654,3000
2007,[2007] EWCA Crim 1249,https://caselaw.nationalarchives.gov.uk/ewca/crim/2007/1249,2897
2008,[2008] EWCA Crim 134,https://caselaw.nationalarchives.gov.uk/ewca/crim/2008/134,2196
2009,[2009] EWCA Crim 119,https://caselaw.nationalarchives.gov.uk/ewca/crim/2009/119,2460
2010,[2010] EWCA Crim 2270,https://caselaw.nationalarchives.gov.uk/ewca/crim/2010/2270,4484
2011,[2011] EWCA Crim 1871,https://caselaw.nationalarchives.gov.uk/ewca/crim/2011/1871,5174
2012,[2012] EWCA Crim 1605,https://caselaw.nationalarchives.gov.uk/ewca/crim/2012/1605,3656
2013,[2013] EWCA Crim 435,https://caselaw.nationalarchives.gov.uk/ewca/crim/2013/435,2568
2014,[2014] EWCA Crim 690,https://caselaw.nationalarchives.gov.uk/ewca/crim/2014/690,687
2015,[2015] EWCA Crim 390,https://caselaw.nationalarchives.gov.uk/ewca/crim/2015/390,626
2016,[2016] EWCA Crim 676,https://caselaw.nationalarchives.gov.uk/ewca/crim/2016/676,4175
2017,[2017] EWCA Crim 1168,https://caselaw.nationalarchives.gov.uk/ewca/crim/2017/1168,5478
2018,[2018] EWCA Crim 2739,https://caselaw.nationalarchives.gov.uk/ewca/crim/2018/2739,4170
2019,[2019] EWCA Crim 1582,https://caselaw.nationalarchives.gov.uk/ewca/crim/2019/1582,3658
2020,[2020] EWCA Crim 1286,https://caselaw.nationalarchives.gov.uk/ewca/crim/2020/1286,5117
2021,[2021] EWCA Crim 655,https://caselaw.nationalarchives.gov.uk/ewca/crim/2021/655,3594
2022,[2022] EWCA Crim 1784,https://caselaw.nationalarchives.gov.uk/ewca/crim/2022/1784,403
2023,[2023] EWCA Crim 1063,https://caselaw.nationalarchives.gov.uk/ewca/crim/2023/1063,1662
2024,[2024] EWCA Crim 474,https://caselaw.nationalarchives.gov.uk/ewca/crim/2024/474,850
2003,[2003] EWCA Crim 1966,https://caselaw.nationalarchives.gov.uk/ewca/crim/2003/1966,5427
2004,[2004] EWCA Crim 2901,https://caselaw.nationalarchives.gov.uk/ewca/crim/2004/2901,2339
2005,[2005] EWCA Crim 1883,https://caselaw.nationalarchives.gov.uk/ewca/crim/2005/1883,3929
2006,[2006] EWCA Crim 1638,https://caselaw.nationalarchives.gov.uk/ewca/crim/2006/1638,4907
2007,[2007] EWCA Crim 876,https://caselaw.nationalarchives.gov.uk/ewca/crim/2007/876,4525
2008,[2008] EWCA Crim 2787,https://caselaw.nationalarchives.gov.uk/ewca/crim/2008/2787,6100
2009,[2009] EWCA Crim 456,https://caselaw.nationalarchives.gov.uk/ewca/crim/2009/456,6064
2010,[2010] EWCA Crim 1938,https://caselaw.nationalarchives.gov.uk/ewca/crim/2010/1938,3152
