publicationYear,citation,uri,row_id
2003,[2003] EWCA Crim 1765,https://caselaw.nationalarchives.gov.uk/ewca/crim/2003/1765,3897
2004,[2004] EWCA Crim 1528,https://caselaw.nationalarchives.gov.uk/ewca/crim/2004/1528,5517
2005,[2005] EWCA Crim 2750,https://caselaw.nationalarchives.gov.uk/ewca/crim/2005/2750,865
2006,[2006] EWCA Crim 2869,https://caselaw.nationalarchives.gov.uk/ewca/crim/2006/2869,2318
2007,[2007] EWCA Crim 1239,https://caselaw.nationalarchives.gov.uk/ewca/crim/2007/1239,266
2008,[2008] EWCA Crim 1417,https://caselaw.nationalarchives.gov.uk/ewca/crim/2008/1417,2720
2009,[2009] EWCA Crim 173,https://caselaw.nationalarchives.gov.uk/ewca/crim/2009/173,2966
2010,[2010] EWCA Crim 101,https://caselaw.nationalarchives.gov.uk/ewca/crim/2010/101,1156
2011,[2011] EWCA Crim 314,https://caselaw.nationalarchives.gov.uk/ewca/crim/2011/314,1215
2012,[2012] EWCA Crim 2822,https://caselaw.nationalarchives.gov.uk/ewca/crim/2012/2822,1883
2013,[2013] EWCA Crim 1024,https://caselaw.nationalarchives.gov.uk/ewca/crim/2013/1024,1516
2014,[2014] EWCA Crim 53,https://caselaw.nationalarchives.gov.uk/ewca/crim/2014/53,1899
2015,[2015] EWCA Crim 1936,https://caselaw.nationalarchives.gov.uk/ewca/crim/2015/1936,5969
2016,[2016] EWCA Crim 678,https://caselaw.nationalarchives.gov.uk/ewca/crim/2016/678,3875
2017,[2017] EWCA Crim 2062,https://caselaw.nationalarchives.gov.uk/ewca/crim/2017/2062,3391
2018,[2018] EWCA Crim 78,https://caselaw.nationalarchives.gov.uk/ewca/crim/2018/78,2397
2019,[2019] EWCA Crim 1568,https://caselaw.nationalarchives.gov.uk/ewca/crim/2019/1568,2915
2020,[2020] EWCA Crim 1730,https://caselaw.nationalarchives.gov.uk/ewca/crim/2020/1730,2461
2021,[2021] EWCA Crim 603,https://caselaw.nationalarchives.gov.uk/ewca/crim/2021/603,1813
2022,[2022] EWCA Crim 401,https://caselaw.nationalarchives.gov.uk/ewca/crim/2022/401,1591
2023,[2023] EWCA Crim 797,https://caselaw.nationalarchives.gov.uk/ewca/crim/2023/797,3026
2024,[2024] EWCA Crim 519,https://caselaw.nationalarchives.gov.uk/ewca/crim/2024/519,727
2003,[2003] EWCA Crim 2199,https://caselaw.nationalarchives.gov.uk/ewca/crim/2003/2199,2503
2004,[2004] EWCA Crim 3026,https://caselaw.nationalarchives.gov.uk/ewca/crim/2004/3026,4569
2005,[2005] EWCA Crim 700,https://caselaw.nationalarchives.gov.uk/ewca/crim/2005/700,4501
2006,[2006] EWCA Crim 417,https://caselaw.nationalarchives.gov.uk/ewca/crim/2006/417,5563
2007,[2007] EWCA Crim 3025,https://caselaw.nationalarchives.gov.uk/ewca/crim/2007/3025,5466
2008,[2008] EWCA Crim 1997,https://caselaw.nationalarchives.gov.uk/ewca/crim/2008/1997,6122
2009,[2009] EWCA Crim 1018,https://caselaw.nationalarchives.gov.uk/ewca/crim/2009/1018,6076
2010,[2010] EWCA Crim 97,https://caselaw.nationalarchives.gov.uk/ewca/crim/2010/97,4953
2011,[2011] EWCA Crim 1231,https://caselaw.nationalarchives.gov.uk/ewca/crim/2011/1231,2495
2012,[2012] EWCA Crim 1414,https://caselaw.nationalarchives.gov.uk/ewca/crim/2012/1414,1989
2013,[2013] EWCA Crim 1450,https://caselaw.nationalarchives.gov.uk/ewca/crim/2013/1450,2298
2014,[2014] EWCA Crim 1614,https://caselaw.nationalarchives.gov.uk/ewca/crim/2014/1614,3523
2015,[2015] EWCA Crim 1186,https://caselaw.nationalarchives.gov.uk/ewca/crim/2015/1186,3729
2016,[2016] EWCA Crim 8,https://caselaw.nationalarchives.gov.uk/ewca/crim/2016/8,4401
2017,[2017] EWCA Crim 81,https://caselaw.nationalarchives.gov.uk/ewca/crim/2017/81,5895
2018,[2018] EWCA Crim 2634,https://caselaw.nationalarchives.gov.uk/ewca/crim/2018/2634,5870
2019,[2019] EWCA Crim 2104,https://caselaw.nationalarchives.gov.uk/ewca/crim/2019/2104,5557
2020,[2020] EWCA Crim 1387,https://caselaw.nationalarchives.gov.uk/ewca/crim/2020/1387,1040
2021,[2021] EWCA Crim 407,https://caselaw.nationalarchives.gov.uk/ewca/crim/2021/407,1970
2022,[2022] EWCA Crim 925,https://caselaw.nationalarchives.gov.uk/ewca/crim/2022/925,6147
2023,[2023] EWCA Crim 541,https://caselaw.nationalarchives.gov.uk/ewca/crim/2023/541,6114
2024,[2024] EWCA Crim 319,https://caselaw.nationalarchives.gov.uk/ewca/crim/2024/319,4333
2003,[2003] EWCA Crim 3525,https://caselaw.nationalarchives.gov.uk/ewca/crim/2003/3525,2004
2004,[2004] EWCA Crim 3156,https://caselaw.nationalarchives.gov.uk/ewca/crim/2004/3156,4958
2005,[2005] EWCA Crim 954,https://caselaw.nationalarchives.gov.uk/ewca/crim/2005/954,2299
2006,[2006] EWCA Crim 1900,https://caselaw.nationalarchives.gov.uk/ewca/crim/2006/1900,1243
2007,[2007] EWCA Crim 2056,https://caselaw.nationalarchives.gov.uk/ewca/crim/2007/2056,4966
2008,[2008] EWCA Crim 25,https://caselaw.nationalarchives.gov.uk/ewca/crim/2008/25,1753
2009,[2009] EWCA Crim 1852,https://caselaw.nationalarchives.gov.uk/ewca/crim/2009/1852,1850
2010,[2010] EWCA Crim 1119,https://caselaw.nationalarchives.gov.uk/ewca/crim/2010/1119,3446
2011,[2011] EWCA Crim 636,https://caselaw.nationalarchives.gov.uk/ewca/crim/2011/636,4295
2012,[2012] EWCA Crim 2162,https://caselaw.nationalarchives.gov.uk/ewca/crim/2012/2162,5360
2013,[2013] EWCA Crim 590,https://caselaw.nationalarchives.gov.uk/ewca/crim/2013/590,5320
2014,[2014] EWCA Crim 1029,https://caselaw.nationalarchives.gov.uk/ewca/crim/2014/1029,769
2015,[2015] EWCA Crim 1999,https://caselaw.nationalarchives.gov.uk/ewca/crim/2015/1999,2069
2016,[2016] EWCA Crim 572,https://caselaw.nationalarchives.gov.uk/ewca/crim/2016/572,987
2017,[2017] EWCA Crim 1145,https://caselaw.nationalarchives.gov.uk/ewca/crim/2017/1145,3239
2018,[2018] EWCA Crim 962,https://caselaw.nationalarchives.gov.uk/ewca/crim/2018/962,1590
2019,[2019] EWCA Crim 1540,https://caselaw.nationalarchives.gov.uk/ewca/crim/2019/1540,5548
2020,[2020] EWCA Crim 937,https://caselaw.nationalarchives.gov.uk/ewca/crim/2020/937,2749
2021,[2021] EWCA Crim 261,https://caselaw.nationalarchives.gov.uk/ewca/crim/2021/261,5573
2022,[2022] EWCA Crim 1292,https://caselaw.nationalarchives.gov.uk/ewca/crim/2022/1292,5190
2023,[2023] EWCA Crim 1613,https://caselaw.nationalarchives.gov.uk/ewca/crim/2023/1613,1797
2024,[2024] EWCA Crim 257,https://caselaw.nationalarchives.gov.uk/ewca/crim/2024/257,3051
2003,[2003] EWCA Crim 270,https://caselaw.nationalarchives.gov.uk/ewca/crim/2003/270,2827
2004,[2004] EWCA Crim 3387,https://caselaw.nationalarchives.gov.uk/ewca/crim/2004/3387,5909
2005,[2005] EWCA Crim 1416,https://caselaw.nationalarchives.gov.uk/ewca/crim/2005/1416,1397
2006,[2006] EWCA Crim 827,https://caselaw.nationalarchives.gov.uk/ewca/crim/2006/827,2373
2007,[2007] EWCA Crim 2737,https://caselaw.nationalarchives.gov.uk/ewca/crim/2007/2737,6016
2008,[2008] EWCA Crim 2908,https://caselaw.nationalarchives.gov.uk/ewca/crim/2008/2908,3029
2009,[2009] EWCA Crim 1361,https://caselaw.nationalarchives.gov.uk/ewca/crim/2009/1361,3210
2010,[2010] EWCA Crim 3052,https://caselaw.nationalarchives.gov.uk/ewca/crim/2010/3052,3606
