source,exact,comment,tags
https://caselaw.nationalarchives.gov.uk/ewca/crim/2007/1530,"27th February 2006 the offender pleaded guilty, at the earliest opportunity",,"['Confess/Plead', 'PleaPoint', 'ConvictPleaDate']"
https://caselaw.nationalarchives.gov.uk/ewca/crim/2016/52,dismiss both appeals against conviction.,After appeals & retrials,"['ReasonDismiss', 'AppealOutcome']"
https://caselaw.nationalarchives.gov.uk/ewca/crim/2016/52,Ali knew Karen Price from a school that they attended,,['OffVicRelation']
https://caselaw.nationalarchives.gov.uk/ewca/crim/2016/52,Karen Price and D were absconders,Unemployed,['VicJobOffence']
https://caselaw.nationalarchives.gov.uk/ewca/crim/2016/52,worked as a doorman.,,['OffJobOffence']
https://caselaw.nationalarchives.gov.uk/ewca/crim/2016/52,court held this was credible and admissible evidence that might have had an impact on the verdict. It quashed the conviction and ordered a re-trial.,Evidence admissible,"['VoirDire', 'VoirDireOutcome']"
https://caselaw.nationalarchives.gov.uk/ewca/crim/2016/52,(both consultant psychologists) as to Ali’s intellectual capacity. He suffers from a borderline mental handicap,,"['OffMentalOffence', 'DefEvidTypeTrial']"
https://caselaw.nationalarchives.gov.uk/ewca/crim/2016/52,"Rose J had directed the jury in clear terms that Ali’s interviews were not evidence against Charlton and that, if the case against Charlton depended on Ali’s evidence in court, the jury would not “for one moment contemplate convicting Charlton”.",First appeal judgement,['JuryInstruct']
https://caselaw.nationalarchives.gov.uk/ewca/crim/2016/52,ALAN CHARLTON AND IDRIS ALI,"2 individual male appellents, offenders","['Appellent', 'OffSex', 'Co-defendants/co-accused', 'CoDefAccNum']"
https://caselaw.nationalarchives.gov.uk/ewca/crim/2016/52,Ali’s cell,Custody,['RemandDecision']
https://caselaw.nationalarchives.gov.uk/ewca/crim/2016/52,"an account of glue-sniffing, drug-taking",,"['OffIntoxOffence', 'VicIntoxOffence']"
https://caselaw.nationalarchives.gov.uk/ewca/crim/2016/52,He consistently denied any part in KP’s death.,Offender denies offence,['DefEvidTypeTrial']
https://caselaw.nationalarchives.gov.uk/ewca/crim/2016/52,"case against Charlton was the evidence of a woman we shall call D. Against Ali, the prosecution relied on his various confessions and admissions.","Eye-witness, confessions and admissions",['ProsEvidTypeTrial']
https://caselaw.nationalarchives.gov.uk/ewca/crim/2016/52,Ali was 16 and Charlton 21 years of age.,,['OffAgeOffence']
https://caselaw.nationalarchives.gov.uk/ewca/crim/2016/52,"29 Fitzhamon Embankment, Cardiff",,['OffHomeOffence']
https://caselaw.nationalarchives.gov.uk/ewca/crim/2016/52,facial reconstruction artist,Victim identification,['ProsEvidTypeTrial']
https://caselaw.nationalarchives.gov.uk/ewca/crim/2016/52,"At that time she was nearly 16,",1 individual female victim,"['VictimType', 'VicNum', 'VicSex', 'VicAgeOffence']"
https://caselaw.nationalarchives.gov.uk/ewca/crim/2016/52,On 11 November 1994 this court dismissed Charlton’s appeal but allowed Ali’s appeal and quashed his conviction.,Before appeals & retrials,['AppealOutcome']
https://caselaw.nationalarchives.gov.uk/ewca/crim/2016/52,Charlton to imprisonment for life with a minimum tariff of 15 years and ordered Ali to be detained at Her Majesty’s Pleasure.,Before appeals & retrials,"['Sentence', 'SentServe']"
https://caselaw.nationalarchives.gov.uk/ewca/crim/2016/52,He was sentenced to 6 years imprisonment and having served the equivalent term was released.,After appeals & retrials,"['Sentence', 'SentServe']"
https://caselaw.nationalarchives.gov.uk/ewca/crim/2016/52,manslaughter of Karen Price.,After appeals & retrials,['ConvictOffence']
https://caselaw.nationalarchives.gov.uk/ewca/crim/2016/52,jury,,['Jurytrial']
https://caselaw.nationalarchives.gov.uk/ewca/crim/2016/52,the murder of Karen Price.,Before appeals & retrials,['ConvictOffence']
https://caselaw.nationalarchives.gov.uk/ewca/crim/2016/52,26 February 1991,Before appeals & retrials,['ConvictPleaDate']
https://caselaw.nationalarchives.gov.uk/ewca/crim/2016/52,Cardiff Crown Court,,"['ConvCourtName', 'ConvCourtType', 'SentCourtName', 'SentCourtType']"
https://caselaw.nationalarchives.gov.uk/ewca/crim/2016/52,both appeal again against conviction upon references by the CCRC under s.9 Criminal Appeal Act 1995 on the basis that there is a real possibility that the Court of Appeal will consider that the appellants’ convictions are unsafe.,,"['AppealAgainst', 'AppealGround']"
https://caselaw.nationalarchives.gov.uk/ewca/crim/2012/720,"First, the judge had allowed certain evidence to be called which ought not to have gone before the jury. Secondly, the judge's direction concerning the applicant's good character was unsatisfactory. The Court of Appeal directed a retrial","Inadmissible evidence, retrial ordered","['VoirDire', 'VoirDireOutcome']"
https://caselaw.nationalarchives.gov.uk/ewca/crim/2012/720,He pleaded not guilty to all counts.,Offender denies offences,['DefEvidTypeTrial']
https://caselaw.nationalarchives.gov.uk/ewca/crim/2012/720,JC made allegations of sexual abuse,Victim testimony,['ProsEvidTypeTrial']
https://caselaw.nationalarchives.gov.uk/ewca/crim/2012/720,"the judge imposed a sentence of imprisonment for public protection, with a minimum term of 7 years less time spent in custody on remand. He imposed various shorter determinate sentences in respect of the other counts","(Sentence received after retrial)
Custody on remand","['Sentence', 'SentServe', 'RemandDecision']"
https://caselaw.nationalarchives.gov.uk/ewca/crim/2012/720,applicant was also in loco parentis towards SJ for some years while he was living with SJ's mother.,Fixed address,"['OffRelsOffence', 'OffVicRelation', 'OffDependsOffence', 'VicHomeOffence']"
https://caselaw.nationalarchives.gov.uk/ewca/crim/2012/720,"the boys whom the applicant employed were SJ, JC and CS.",Employed in coach company,"['OffVicRelation', 'VicJobOffence']"
https://caselaw.nationalarchives.gov.uk/ewca/crim/2012/720,"SJ, JC and CS.",3 individual male victims,"['VictimType', 'VicNum', 'VicSex']"
https://caselaw.nationalarchives.gov.uk/ewca/crim/2012/720,the judge made an entirely sensible case management decision for reasons which he set out with care. This court should not interfere. We therefore reject the second ground of appeal as put forward in the application.,,['ReasonDismiss']
