Coding,Description,tag_name,[2003] EWCA Crim 3 (Charis),[2003] EWCA Crim 3 (Vili),[2003] EWCA Crim 2243 (Charis),[2003] EWCA Crim 2243 (Vili),[2004] EWCA Crim 2278 (Charis),[2004] EWCA Crim 2278 (Vili),[2005] EWCA Crim 1983 (Charis),[2005] EWCA Crim 1983 (Vili),[2006] EWCA Crim 694 (Charis),[2006] EWCA Crim 694 (Vili),[2006] EWCA Crim 1155 (Charis),[2006] EWCA Crim 1155 (Vili),[2007] EWCA Crim 1530 (Charis),[2007] EWCA Crim 1530 (Vili),[2008] EWCA Crim 553 (Charis),[2008] EWCA Crim 553 (Vili),[2009] EWCA Crim 1431 (Charis),[2009] EWCA Crim 1431 (Vili),[2010] EWCA Crim 712 (Charis),[2010] EWCA Crim 712 (Vili),[2012] EWCA Crim 720 (Charis),[2012] EWCA Crim 720 (Vili),[2013] EWCA Crim 801 (Charis),[2013] EWCA Crim 801 (Vili),[2013] EWCA Crim 1649 (Charis),[2013] EWCA Crim 1649 (Vili),[2016] EWCA Crim 52 (Charis),[2016] EWCA Crim 52 (Vili),[2017] EWCA Crim 1851 (Charis),[2017] EWCA Crim 1851 (Vili),[2018] EWCA Crim 1766 (Charis),[2018] EWCA Crim 1766 (Vili),[2019] EWCA Crim 362 (Charis),[2019] EWCA Crim 362 (Vili),[2020] EWCA Crim 499 (Charis),[2020] EWCA Crim 499 (Vili),[2022] EWCA Crim 83 (Charis),[2022] EWCA Crim 83 (Vili),[2023] EWCA Crim 231 (Charis),[2023] EWCA Crim 231 (Vili)
ConvCourtType Court Type where Offender was Convicted/Pled Guilty?,Magistrates’ court/Crown court,ConvCourtType,NA,"Exact: TAUNTON CROWN COURT;

Comment: Crown Court","Exact: Crown Court;

Comment: ","Exact: Crown Court at Basildon;

Comment: Crown Court;

Exact: Crown Court;

Comment: Crown Court","Exact: Crown Court at Reading;

Comment: ","Exact: Crown Court;

Comment: ","Exact: Crown Court at Teeside;

Comment: ","Exact: Crown Court;

Comment: ","Exact: Crown Court at Liverpool;

Comment: ","Exact: Crown Court;

Comment: ",,"Exact: Crown Court;

Comment: ;

Exact: Criminal Court;

Comment: Crown court","Exact: Crown Court at Liverpool;

Comment: ","Exact: Crown Court;

Comment: ",,"Exact: Crown Court;

Comment: ","Exact: Crown Court at Grimsby;

Comment: ","Exact: Crown Court;

Comment: Crown Court","Exact: York Crown Court;

Comment: ","Exact: Crown Court;

Comment: ","Exact: Milton Keynes Crown Court in July and August 2011.;

Comment: ;

Exact: June 2009 the applicant stood trial before Judge Coleman and a jury at Peterborough Crown Court sitting at Huntington;

Comment: ","Exact: Crown Court;

Comment: ","Exact: Central Criminal Court;

Comment: Crown","Exact: Central Criminal Court;

Comment: Crown Court","Exact: Crown Court sitting in Manchester.;

Comment: ","Exact: Crown Court;

Comment: ","Exact: Cardiff Crown Court;

Comment: ","Exact: Crown Court;

Comment: ","Exact: Crown Court at Warwick;

Comment: ","Exact: Crown Court;

Comment: ","Exact: first appearance was at Bristol Magistrates' Court;

Comment: ","Exact: Magistrates' Court;

Comment: ","Exact: Crown Court at Manchester;

Comment: ","Exact: Crown Court;

Comment: ","Exact: Crown Court at Truro;

Comment: -","Exact: Crown Court at Truro;

Comment: Crown Court",Don't know,"Exact: Crown Court;

Comment: ","Exact: Crown Court at Liverpool;

Comment: ","Exact: Crown Court;

Comment: "
ConvCourtName(s) Court Name(s) where Offender Convicted/Pled Guilty,Text (List all courts if convicted/pled guilty at MORE than one court),ConvCourtName,NA,"Exact: TAUNTON CROWN COURT;

Comment: Taunton Crown Court","Exact: Crown Court at Basildon;

Comment: ","Exact: Crown Court at Basildon;

Comment: Crown Court at Basildon","Exact: Crown Court at Reading;

Comment: ","Exact: Crown Court at Reading;

Comment: ","Exact: Crown Court at Teeside;

Comment: ","Exact: Crown Court at Teeside;

Comment: ","Exact: Crown Court at Liverpool;

Comment: ","Exact: Crown Court at Liverpool;

Comment: ","Exact: Central Criminal Court;

Comment: Crown court. For Ellis Appeal;

Exact: Birmingham Crown Court,;

Comment: For Davis Appeal","Exact: Birmingham Crown Court;

Comment: ;

Exact: Central Criminal Court;

Comment: ","Exact: Crown Court at Liverpool;

Comment: ","Exact: Crown Court at Liverpool;

Comment: ",,"Exact: Crown Court at Guildford;

Comment: ","Exact: Crown Court at Grimsby;

Comment: ","Exact: Crown Court at Grimsby;

Comment: Crown Court at Grimsby","Exact: York Crown Court;

Comment: ","Exact: York Crown Court;

Comment: ","Exact: Milton Keynes Crown Court in July and August 2011.;

Comment: ;

Exact: June 2009 the applicant stood trial before Judge Coleman and a jury at Peterborough Crown Court sitting at Huntington;

Comment: ","Exact: Peterborough Crown Court;

Comment: ","Exact: Central Criminal Court;

Comment: Crown","Exact: Central Criminal Court;

Comment: ","Exact: Crown Court sitting in Manchester.;

Comment: ","Exact: Crown Court sitting in Manchester.;

Comment: Manchester Crown Court","Exact: Cardiff Crown Court;

Comment: ","Exact: Cardiff Crown Court;

Comment: ","Exact: Crown Court at Warwick;

Comment: ","Exact: Crown Court at Warwick;

Comment: ","Exact: first appearance was at Bristol Magistrates' Court;

Comment: ","Exact: Bristol Magistrates' Court;

Comment: ","Exact: Crown Court at Manchester;

Comment: ","Exact: Crown Court at Manchester;

Comment: ","Exact: Crown Court at Truro;

Comment: For appellent's current trial he was represented at a hearing on the following day. (paragraph 12).","Exact: Crown Court at Truro;

Comment: Crown Court at Truro",Don't know,"Exact: Crown Court at Chelmsford;

Comment: ","Exact: Crown Court at Liverpool;

Comment: ","Exact: Crown Court at Liverpool;

Comment: "
ConvictPleaDate Conviction/Guilty Plea Date(s),Numeric (List all),ConvictPleaDate,NA,"Exact: 20.12.02;

Comment: 20.12.02","Exact: On 27 January 2002;

Comment: ","Exact: 27 January 2002;

Comment: ConvictPleaDate","Exact: On 6th June 2003;

Comment: ","Exact: 6th June 2003;

Comment: 06.06.2003","Exact: 18 February 2005.;

Comment: ","Exact: 18 February 2005;

Comment: 18.02.2005","Exact: 9th September 2005;

Comment: ","Exact: 9th September 2005;

Comment: 09.09.2005","Exact: 25th May 2004;

Comment: For Davis Appeal;

Exact: On 18 March 2005,;

Comment: For Ellis Appeal","Exact: 18 March 2005;

Comment: 18.05.2005;

Exact: 25th May 2004,;

Comment: 25.05.2004","Exact: 27th February 2006 the offender pleaded guilty, at the earliest opportunity;

Comment: ","Exact: 27th February 2006;

Comment: 27.02.2006",,"Exact: 2 November 2007;

Comment: 02.11.2007","Exact: 12th December 2008;

Comment: ","Exact: 12th December 2008;

Comment: 12.12.2008","Exact: April 2009;

Comment: ","Exact: April 2009;

Comment: 04.2009","Exact: Milton Keynes Crown Court in July and August 2011.;

Comment: ",,"Exact: Friday 26 April 2013;

Comment: ","Exact: 8 June 2012;

Comment: 08.07.2012","Exact: Between 16th May 2011 and 9th September 2011;

Comment: ","Exact: 9th September 2011;

Comment: 09.11.2011","Exact: 26 February 1991;

Comment: Before appeals & retrials","Exact: 26 February 1991;

Comment: 26.02.1991","Exact: 17th February 2017;

Comment: ","Exact: 17th February 2017;

Comment: 17.02.2017","Exact: on the day of sentence the offender also pleaded guilty to that charge.;

Comment: ConvictPleaDate 2.;

Exact: 19 December 2017.;

Comment: ConvictPleaDate 1.;

Exact: 16 March 2018;

Comment: ","Exact: 16 March 2018;

Comment: 16.03.2018","Exact: 13th August 2018.;

Comment: ",,NA,"Exact: July 2018;

Comment: July 2018",Don't know,"Exact: 16 January 2020;

Comment: 16.01.2020","Exact: 6th February 2015,;

Comment: ","Exact: 6th February 2015;

Comment: 06/02/2015"
"Was there a Jurytrial?
If YES, JuryDecisionType","Yes/No/Don’t know
If YES, Unanimous/Majority/Don’t know/NA",Jurytrial,NA,Don't know,,NA,"Exact: seven day trial;

Comment: ","Exact: jury proceeded to consider the matter on the basis of that indictment;

Comment: Yes",Don't know,Don't know,"Exact: jury;

Comment: ","Exact: jury;

Comment: Yes","Exact: jury;

Comment: For  Ellis Appeal.;

Exact: jury;

Comment: For Davis Appeal.","Exact: jury;

Comment: Yes;

Exact: jury;

Comment: Yes",No,No,No,-,"Exact: jury;

Comment: ","Exact: jury;

Comment: Yes","Exact: jury;

Comment: ","Exact: jury;

Comment: Yes",,"Exact: jury;

Comment: Yes","Exact: jury;

Comment: ","Exact: jury;

Comment: Yes","Exact: jury;

Comment: ","Exact: jury;

Comment: Yes","Exact: jury;

Comment: ","Exact: jury;

Comment: Yes","Exact: jury;

Comment: ","Exact: jury;

Comment: Yes",NA,,No,Don't know,"Exact: jury;

Comment: -","Exact: jury;

Comment: Yes",No,Don't know,No,No
,,JuryDecisionType,NA,,NA,NA,"Exact: The jury decided that it was not made out and it was in those circumstances they convicted.;

Comment: Unanimous","Exact: jury convicted the appellants of the counts with which we are concerned.;

Comment: Don't know",NA,,Don't know,,Don't know,Don't know,NA,,NA,,,Don't know,,,Don't know,Don't know,Don't know,Don't know,"Exact: unanimous verdicts of guilty against Malik on the remaining counts;

Comment: ;

Exact: jury returned a unanimous verdict of guilty against Malik on Count 8.;

Comment: ;

Exact: the jury returned unanimous guilty verdicts on all counts against Farooqi and Newton and returned their verdict of not guilty on the one count faced by Harris Farooqi.;

Comment: ","Exact: majority;

Comment: ;

Exact: unanimous;

Comment: ;

Exact: unanimous;

Comment: ;

Exact: unanimous;

Comment: ",Don't know,Don't know,Don't know,Don't know,NA,,NA,,,"Exact: jury returned a not guilty verdict against Mr Davies;

Comment: Don't know",NA,,NA,
ConvictOffence What Offence(s) was Offender Convicted of?,Text (List all),ConvictOffence,NA,"Exact: indecent assault;

Comment: ","Exact: offence under section 85(3) of the Water Resources Act 1991;

Comment: ","Exact: offence under section 85(3) of the Water Resources Act 1991 of causing sewage effluent to be discharged into the river Crouch;

Comment: ","Exact: six counts of unauthorised use of trade marks contrary to sections 92(1) and 104(1) of the Trade Marks Act 1994 and were sentenced to four months' imprisonment on each count concurrently.;

Comment: ","Exact: six counts of unauthorised use of trade marks contrary to sections 92(1) and 104(1) of the Trade Marks Act 1994;

Comment: Unauthorised use of trade marks contrary to sections 92(1) and 104(1) of the Trade Marks Act 1994","Exact: two men, S and L, were being prosecuted for offences contrary to section 1 of the Protection of Children Act 1978 and for conspiracy to rape.;

Comment: 2 individual male offenders","Exact: making and distributing indecent photographs of a child;

Comment: Making and distributing indecent photographs of a child;

Exact: L was charged with the conspiracy to rape;

Comment: Conspiracy to rape","Exact: inflicting grievous bodily harm pursuant to section 20 of the Offences Against the Person Act 1861.;

Comment: ","Exact: offence of inflicting grievous bodily harm pursuant to section 20 of the Offences Against the Person Act 1861;

Comment: ","Exact: Simms was convicted of the same counts of murder, and two of the three counts of attempt murder.;

Comment: ;

Exact: two counts of murder.;

Comment: Davis Appeal.;

Exact: two counts of murder and three counts of attempt murder,;

Comment: ","Exact: two of the three counts of attempt murder;

Comment: ;

Exact: convicted of two counts of murder and three counts of attempt murder;

Comment: ;

Exact: convicted of two counts of murder;

Comment: ","Exact: wounding with intent contrary to section 18 of the Offences Against the Person Act 1861.;

Comment: ","Exact: to wounding with intent contrary to section 18 of the Offences Against the Person Act 1861;

Comment: Wounding with intent","Exact: The total sentence, therefore, was one of 18 months' imprisonment (sic).;

Comment: Offence1: four months imprisonment Offence2&3: two months imprisonment. concurrent on each, but consecutive to the other sentences. Offence4&5: no seperate penalites save for an endorsement of licence. Offence6, 7, 8 & 9: sentences of six months' imprisonment (sic) concurrent inter se, but consecutive to the other sentences. Offence10 & 11: six months' imprisonment (sic) concurrent inter se, but otherwise consecutive. Offence12&13: endorsement of licence;

Exact: domestic burglary.;

Comment: ","Exact: assault with intent to resist arrest;

Comment: ;

Exact: aggravated taking without consent;

Comment: ;

Exact: taking without consent;

Comment: ;

Exact: attempted burglary;

Comment: ;

Exact: two burglaries;

Comment: ;

Exact: driving without insurance and without a licence;

Comment: ;

Exact: taking without consent;

Comment: ;

Exact: theft;

Comment: ;

Exact: It was a domestic burglary;

Comment: ","Exact: possession of articles for terrorist purposes;

Comment: ;

Exact: aggravated intentional harassment,;

Comment: ","Exact: racially aggravated intentional harassment, alarm or distress;

Comment: ;

Exact: possession of articles for terrorist purposes;

Comment: ","Exact: Count 1 was sexual assault by penetration contrary to section 2 of the Sexual Offences Act 2003 and count 2 was false imprisonment.;

Comment: ","Exact: false imprisonment;

Comment: ;

Exact: sexual assault by penetration;

Comment: ","Exact: June 2009 the applicant stood trial before Judge Coleman and a jury at Peterborough Crown Court sitting at Huntington;

Comment: ","Exact: three offences of rape, two indecent assaults, two sexual assaults, two offences of sexual activity with a child and one offence of causing a child to engage in sexual activity. The jury convicted the applicant on two counts of sexual assault against JC;

Comment: ","Exact: Count 1, conspiracy to murder,;

Comment: ;

Exact: Count 2 alleged murder in that between 2 and 4 January 2011 they murdered Fiza Asif.;

Comment: ","Exact: alleged murder;

Comment: ;

Exact: conspiracy to murder;

Comment: ","Exact: Malik was convicted of one count of engaging in conduct in preparation for acts of terrorism contrary to section 5 (1) of the Act (Count 8) and two counts of soliciting to murder contrary to section 4 of the Offences Against the Persons Act 1861 (Counts 9 and 10).;

Comment: ;

Exact: Newton was convicted of one count of engaging in conduct in preparation for acts of terrorism contrary to section 5(1) of the Act (Count 1) and of two counts of dissemination of terrorist publications contrary to section 2(1) (a) and (2) (b) of the Act (Counts 2 and 5).;

Comment: ;

Exact: Farooqi was convicted on five counts: one count of engaging in conduct in preparation for acts of terrorism contrary to section 5(1) of the Terrorism Act 2006 (the Act) (Count 1), three counts of soliciting to murder contrary to section 4 of the Offences Against the Persons Act 1861 (Counts 3, 6 and 7) and one count of dissemination of terrorist publications contrary to section 2(1) (a) and (2) (b) of the Act (Count 4).;

Comment: 5 of 10 counts","Exact: soliciting to murder;

Comment: ;

Exact: engaging in conduct in preparation for acts of terrorism;

Comment: ;

Exact: dissemination of terrorist publications;

Comment: ;

Exact: engaging in conduct in preparation for acts of terrorism;

Comment: ;

Exact: dissemination of terrorist publications;

Comment: ;

Exact: soliciting to murder;

Comment: ;

Exact: engaging in conduct in preparation for acts of terrorism;

Comment: ","Exact: manslaughter of Karen Price.;

Comment: After appeals & retrials;

Exact: the murder of Karen Price.;

Comment: Before appeals & retrials","Exact: convicted of the murder;

Comment: Murder","Exact: single count of robbery (count 3 on the indictment).;

Comment: ","Exact: single count of robbery;

Comment: single count of robbery","Exact: Count 1, causing grievous bodily harm with intent, contrary to section 18 of the Offences Against the Person Act 1861, 64 months; count 2, assault by beating, contrary to section 39 of the Criminal Justice Act 1988,;

Comment: ","Exact: assault by beating;

Comment: assault by beating;

Exact: causing grievous bodily harm with intent;

Comment: causing grievous bodily harm with intent","Exact: possessing a disguised firearm, contrary to section 5(1A)(a) of the Firearms Act 1968, dangerous driving and driving while disqualified.;

Comment: Offence1","Exact: dangerous driving and driving while disqualified;

Comment: dangerous driving and driving while disqualified;

Exact: possessing a disguised firearm;

Comment: ;

Exact: dangerous driving, driving while disqualified and uninsured;

Comment: dangerous driving, driving while disqualified and uninsured;

Exact: filled up canisters with fuel to the value of £113 and made off without payment;

Comment: Did not pay for fuel;

Exact: Vauxhall Vectra vehicle while disqualified and uninsured.;

Comment: Driving while disqualified and uninsured","Exact: contempt of court.;

Comment: -","Exact: The appellant was found to be in contempt of court;

Comment: Contempt of court","Exact: concurrent sentences of equal length being imposed on two counts of being concerned in the supply of class A drugs, contrary to section 4(3)(b) of the Misuse of Drugs Act 1971.;

Comment: ","Exact: two counts of being concerned in the supply of class A drugs, contrary to section 4(3)(b) of the Misuse of Drugs Act 1971;

Comment: Supply of class A drugs","Exact: pleaded guilty to murder.;

Comment: ","Exact: murder;

Comment: Murder"
AcquitOffence What Offence(s) was Offender Acquitted of?,N/A OR Text (List all),AcquitOffence,NA,N/A,NA,NA,NA,N/A,NA,N/A,NA,N/A,Don't know,"Exact: Tafarwa Beckford, who was acquitted by direction of the judge;

Comment: Acquitted of murder charges",NA,,NA,N/A,Don't know,N/A,NA,N/A,NA,N/A,"Exact: Count 1, conspiracy to murder,;

Comment: ","Exact: The brother was also acquitted at that stage on count 2;

Comment: Alleged murder;

Exact: He and his brother were both acquitted on count 1;

Comment: Conspiracy to murder","Exact: and Harris Farooqi was acquitted of involvement in the single count which affected him, Count 1.;

Comment: ","Exact: Harris Farooqi was acquitted;

Comment: Terrorism",,N/A,NA,N/A,NA,,NA,,NA,NA,NA,N/A,NA,N/A
"Did Offender Confess/Plead Guilty? 
If YES, at what point during proceedings? PleaPoint","Yes/No
If YES, in police presence/at first court appearance/in court after first appearance but before trial/in court at first day of trial/in court after first day of trial/Don’t know",Confess/Plead,NA,Don't know,,"Exact: appellant pleaded guilty;

Comment: Yes",No,No,"Exact: L pleaded guilty to eight Counts relating to offences contrary to section 1 of the Protection of Children Act. He too pleaded not guilty to conspiracy to rape but was convicted of it on 18 February 2005.;

Comment: L pleaded guilty to eight of ten counts;

Exact: S pleaded guilty to nine Counts relating to offences contrary to section 1 of the Protection of Children Act 1978. He pleaded not guilty to the conspiracy but was convicted of it on 18 February 2005.;

Comment: S pleaded guilty to nine of ten counts",Yes,No,No,No,No,"Exact: 27th February 2006 the offender pleaded guilty, at the earliest opportunity;

Comment: ","Exact: offender pleaded guilty;

Comment: Yes","Exact: pleaded guilty in the magistrates' court on the occasion of his first appearance.;

Comment: ","Exact: He made full admissions and pleaded guilty in the magistrates' court on the occasion of his first appearance;

Comment: Yes",No,No,No,No,No,N/A,,,No,No,,"Exact: pleaded guilty to the manslaughter;

Comment: Yes","Exact: The appellant had pleaded guilty to an offence of robbery on 3rd March 2003 in the Crown Court at Manchester.;

Comment: ",No,"Exact: He pleaded guilty to the offence of causing grievous bodily harm with intent at the plea and trial preparation hearing on 29 January 2018.;

Comment: After first appearance at plea and trial preparation hearing on 29 January 2018.",No,"Exact: In respect of the second and third group of offences, save the firearms charge, the appellant entered or indicated pleas of guilty at an early stage. He pleaded not guilty to the firearms of charge, but on the morning of the trial, 9th July 2018, entered a plea of guilty.;

Comment: ;

Exact: Following his pleas,;

Comment: ","Exact: pleas of guilty at an early stage;

Comment: Yes",NO,No,"Exact: earlier guilty pleas;

Comment: Date not specified","Exact: Following his earlier guilty pleas;

Comment: ","Exact: pleaded guilty to murder.;

Comment: ","Exact: applicant pleaded guilty to murder;

Comment: Yes"
,,PleaPoint,NA,,"Exact: The magistrates committed the case to the Crown Court;

Comment: At first court appearance.","Exact: The magistrates committed the case to the Crown Court for sentence;

Comment: at first court appearance",NA,,"Exact: In due course;

Comment: After first appearance","Exact: He too pleaded not guilty to conspiracy to rape but was convicted of it on 18 February 2005.;

Comment: In court;

Exact: In due course S pleaded guilty to nine Counts relating to offences contrary to section 1 of the Protection of Children Act 1978. He pleaded not guilty to the conspiracy but was convicted of it on 18 February 2005.;

Comment: In court",NA,,NA,,"Exact: 27th February 2006 the offender pleaded guilty, at the earliest opportunity;

Comment: ","Exact: at the earliest opportunity;

Comment: Before trial","Exact: pleaded guilty in the magistrates' court on the occasion of his first appearance.;

Comment: ",,NA,,NA,,NA,,,,NA,,,"Exact: pleaded guilty to the manslaughter;

Comment: At retrial","Exact: The appellant had pleaded guilty to an offence of robbery on 3rd March 2003 in the Crown Court at Manchester.;

Comment: ",,"Exact: He pleaded guilty to the offence of causing grievous bodily harm with intent at the plea and trial preparation hearing on 29 January 2018.;

Comment: After first appearance at plea and trial preparation hearing on 29 January 2018.",,"Exact: In respect of the second and third group of offences, save the firearms charge, the appellant entered or indicated pleas of guilty at an early stage. He pleaded not guilty to the firearms of charge, but on the morning of the trial, 9th July 2018, entered a plea of guilty.;

Comment: ","Exact: pleas of guilty at an early stage;

Comment: Early stage",NA,NA,Don't know,Don't know,"Exact: 6th February 2015,;

Comment: ","Exact: applicant pleaded guilty to murder.  On the same day he was sentenced;

Comment: At first appearance in court"
"What was the RemandDecision for Offender?
If REMANDED in CUSTODY, duration? RemandCustodyTime","Unconditional Bail/Conditional Bail/ Remanded into custody/Don’t know
If REMANDED in CUSTODY, list how long",RemandDecision,NA,Don't know,NA,NA,"Exact: both of these appellants have been on bail at some stage and accordingly they must be returned to custody to complete their sentences.;

Comment: Remanded into custody",N/A,Don't know,N/A,"Exact: We are told that he is presently on home detention curfew and has been for some weeks.;

Comment: Tagged/ home bail",Don'know,Don't know,Don't know,Don't know,,"Exact: his time on remand;

Comment: ","Exact: Should the court feel that his time on remand;

Comment: Don't know","Exact: remand;

Comment: ",Don't know,Don't know,N/A,"Exact: the judge imposed a sentence of imprisonment for public protection, with a minimum term of 7 years less time spent in custody on remand. He imposed various shorter determinate sentences in respect of the other counts;

Comment: (Sentence received after retrial)","Exact: less time spent in custody on remand;

Comment: Don't know","Exact: appellant was in custody, having been charged with murder.;

Comment: Remanded in custody",,"Exact: remand in custody.;

Comment: ","Exact: remand in custody;

Comment: Remanded in custody","Exact: Ali’s cell;

Comment: Custody",Don't know,Don't know,Don't know,NA,,"Exact: again released on bail.;

Comment: After 2nd offence;

Exact: He was arrested, charged and released on bail.;

Comment: After 1st offence","Exact: again released on bail;

Comment: Bail;

Exact: bail;

Comment: Bail",NA,Don’t know,Don't know,Don't know,"Exact: life imprisonment with a minimum term of 19 years (less time spent on remand).;

Comment: ",Don't know
