Coding,Description,tag_name,[2003] EWCA Crim 3,[2003] EWCA Crim 2243,[2004] EWCA Crim 2278,[2005] EWCA Crim 1983,[2006] EWCA Crim 2916,[2006] EWCA Crim 694,[2006] EWCA Crim 1155,[2007] EWCA Crim 1530,[2008] EWCA Crim 553,[2009] EWCA Crim 1431,[2010] EWCA Crim 712,[2012] EWCA Crim 720,[2013] EWCA Crim 801,[2013] EWCA Crim 1649,[2016] EWCA Crim 52,[2017] EWCA Crim 1851,[2018] EWCA Crim 1766,[2019] EWCA Crim 362,[2020] EWCA Crim 499,[2022] EWCA Crim 83,[2023] EWCA Crim 231
ConvCourtType Court Type where Offender was Convicted/Pled Guilty?,Magistrates’ court/Crown court,ConvCourtType,"NA

Exact: TAUNTON CROWN COURT;

 Comment: Crown Court","Exact: Crown Court at Basildon;

 Comment: Crown Court

Exact: Crown Court;

 Comment: Crown Court","Exact: Crown Court;

 Comment: ","Exact: Crown Court;

 Comment: ",,"Exact: Crown Court;

 Comment: ","Exact: Crown Court;

 Comment: 

Exact: Criminal Court;

 Comment: Crown court","Exact: Crown Court;

 Comment: ","Exact: Crown Court;

 Comment: ","Exact: Crown Court;

 Comment: Crown Court","Exact: Crown Court;

 Comment: ","Exact: Crown Court;

 Comment: ","Exact: Central Criminal Court;

 Comment: Crown Court","Exact: Crown Court;

 Comment: ","Exact: Crown Court;

 Comment: ","Exact: Crown Court;

 Comment: ","Exact: Magistrates' Court;

 Comment: ","Exact: Crown Court;

 Comment: ","Exact: Crown Court at Truro;

 Comment: Crown Court","Don't know

Exact: Crown Court;

 Comment: ","Exact: Crown Court;

 Comment: "
ConvCourtName(s) Court Name(s) where Offender Convicted/Pled Guilty,Text (List all courts if convicted/pled guilty at MORE than one court),ConvCourtName,"NA

Exact: TAUNTON CROWN COURT;

 Comment: Taunton Crown Court","Exact: Crown Court at Basildon;

 Comment: Crown Court at Basildon","Exact: Crown Court at Reading;

 Comment: ","Exact: Crown Court at Teeside;

 Comment: ",,"Exact: Crown Court at Liverpool;

 Comment: ","Exact: Birmingham Crown Court;

 Comment: 

Exact: Central Criminal Court;

 Comment: ","Exact: Crown Court at Liverpool;

 Comment: ","Exact: Crown Court at Guildford;

 Comment: ","Exact: Crown Court at Grimsby;

 Comment: Crown Court at Grimsby","Exact: York Crown Court;

 Comment: ","Exact: Peterborough Crown Court;

 Comment: ","Exact: Central Criminal Court;

 Comment: ","Exact: Crown Court sitting in Manchester.;

 Comment: Manchester Crown Court ","Exact: Cardiff Crown Court;

 Comment: ","Exact: Crown Court at Warwick;

 Comment: ","Exact: Bristol Magistrates' Court;

 Comment: ","Exact: Crown Court at Manchester;

 Comment: ","Exact: Crown Court at Truro;

 Comment: Crown Court at Truro","Don't know

Exact: Crown Court at Chelmsford;

 Comment: ","Exact: Crown Court at Liverpool;

 Comment: "
ConvictPleaDate Conviction/Guilty Plea Date(s),Numeric (List all),ConvictPleaDate,"NA

Exact: 20.12.02;

 Comment: 20.12.02","Exact: 27 January 2002;

 Comment: ConvictPleaDate","Exact: 6th June 2003;

 Comment: 06.06.2003","Exact: 18 February 2005;

 Comment: 18.02.2005",,"Exact: 9th September 2005;

 Comment: 09.09.2005","Exact: 18 March 2005;

 Comment: 18.05.2005

Exact: 25th May 2004,;

 Comment: 25.05.2004","Exact: 27th February 2006;

 Comment: 27.02.2006","Exact: 2 November 2007;

 Comment: 02.11.2007","Exact: 12th December 2008;

 Comment: 12.12.2008","Exact: April 2009;

 Comment: 04.2009",,"Exact: 8 June 2012;

 Comment: 08.07.2012","Exact: 9th September 2011;

 Comment: 09.11.2011","Exact: 26 February 1991;

 Comment: 26.02.1991","Exact: 17th February 2017;

 Comment: 17.02.2017","Exact: 16 March 2018;

 Comment: 16.03.2018",,"NA

Exact: July 2018;

 Comment: July 2018","Don't know

Exact: 16 January 2020;

 Comment: 16.01.2020","Exact: 6th February 2015;

 Comment: 06/02/2015"
"Was there a Jurytrial?
If YES, JuryDecisionType","Yes/No/Don’t know
If YES, Unanimous/Majority/Don’t know/NA",Jurytrial,NA,,"Exact: jury proceeded to consider the matter on the basis of that indictment;

 Comment: Yes",Don't know,,"Exact: jury;

 Comment: Yes","Exact: jury;

 Comment: Yes

Exact: jury;

 Comment: Yes",No,No,"Exact: jury;

 Comment: Yes","Exact: jury;

 Comment: Yes","Exact: jury;

 Comment: Yes","Exact: jury;

 Comment: Yes","Exact: jury;

 Comment: Yes","Exact: jury;

 Comment: Yes","Exact: jury;

 Comment: Yes",NA,No,"Exact: jury;

 Comment: Yes",No,No
,,JuryDecisionType,NA,NA,"Exact: jury convicted the appellants of the counts with which we are concerned.;

 Comment: Don't know",NA,,Don't know,Don't know,NA,NA,,,Don't know,Don't know,"Exact: majority;

 Comment: 

Exact: unanimous;

 Comment: 

Exact: unanimous;

 Comment: 

Exact: unanimous;

 Comment: ",Don't know,Don't know,NA,NA,"Exact: jury returned a not guilty verdict against Mr Davies;

 Comment: Don't know",NA,NA
ConvictOffence What Offence(s) was Offender Convicted of?,Text (List all),ConvictOffence,"NA

Exact: indecent assault;

 Comment: ","Exact: offence under section 85(3) of the Water Resources Act 1991 of causing sewage effluent to be discharged into the river Crouch;

 Comment: ","Exact: six counts of unauthorised use of trade marks contrary to sections 92(1) and 104(1) of the Trade Marks Act 1994;

 Comment: Unauthorised use of trade marks contrary to sections 92(1) and 104(1) of the Trade Marks Act 1994","Exact: making and distributing indecent photographs of a child;

 Comment: Making and distributing indecent photographs of a child

Exact: L was charged with the conspiracy to rape;

 Comment: Conspiracy to rape",,"Exact: offence of inflicting grievous bodily harm pursuant to section 20 of the Offences Against the Person Act 1861;

 Comment: ","Exact: two of the three counts of attempt murder;

 Comment: 

Exact: convicted of two counts of murder and three counts of attempt murder;

 Comment: 

Exact: convicted of two counts of murder;

 Comment: ","Exact: to wounding with intent contrary to section 18 of the Offences Against the Person Act 1861;

 Comment: Wounding with intent","Exact: assault with intent to resist arrest;

 Comment: 

Exact: aggravated taking without consent;

 Comment: 

Exact: taking without consent;

 Comment: 

Exact: attempted burglary;

 Comment: 

Exact: two burglaries;

 Comment: 

Exact: driving without insurance and without a licence;

 Comment: 

Exact: taking without consent;

 Comment: 

Exact: theft;

 Comment: 

Exact: It was a domestic burglary;

 Comment: ","Exact: racially aggravated intentional harassment, alarm or distress;

 Comment: 

Exact: possession of articles for terrorist purposes;

 Comment: ","Exact: false imprisonment;

 Comment: 

Exact: sexual assault by penetration;

 Comment: ","Exact: three offences of rape, two indecent assaults, two sexual assaults, two offences of sexual activity with a child and one offence of causing a child to engage in sexual activity. The jury convicted the applicant on two counts of sexual assault against JC;

 Comment: ","Exact: alleged murder;

 Comment: 

Exact: conspiracy to murder;

 Comment: ","Exact: soliciting to murder;

 Comment: 

Exact: engaging in conduct in preparation for acts of terrorism;

 Comment: 

Exact: dissemination of terrorist publications;

 Comment: 

Exact: engaging in conduct in preparation for acts of terrorism;

 Comment: 

Exact: dissemination of terrorist publications;

 Comment: 

Exact: soliciting to murder;

 Comment: 

Exact: engaging in conduct in preparation for acts of terrorism;

 Comment: ","Exact: convicted of the murder;

 Comment: Murder","Exact: single count of robbery;

 Comment: single count of robbery","Exact: assault by beating;

 Comment: assault by beating

Exact: causing grievous bodily harm with intent;

 Comment: causing grievous bodily harm with intent","Exact: dangerous driving and driving while disqualified;

 Comment: dangerous driving and driving while disqualified

Exact: possessing a disguised firearm;

 Comment: 

Exact: dangerous driving, driving while disqualified and uninsured;

 Comment: dangerous driving, driving while disqualified and uninsured

Exact: filled up canisters with fuel to the value of £113 and made off without payment;

 Comment: Did not pay for fuel

Exact: Vauxhall Vectra vehicle while disqualified and uninsured.;

 Comment: Driving while disqualified and uninsured","Exact: The appellant was found to be in contempt of court;

 Comment: Contempt of court","Exact: two counts of being concerned in the supply of class A drugs, contrary to section 4(3)(b) of the Misuse of Drugs Act 1971;

 Comment: Supply of class A drugs","Exact: murder;

 Comment: Murder"
AcquitOffence What Offence(s) was Offender Acquitted of?,N/A OR Text (List all),AcquitOffence,NA,NA,NA,NA,,NA,"Don't know

Exact: Tafarwa Beckford, who was acquitted by direction of the judge;

 Comment: Acquitted of murder charges",NA,NA,Don't know,NA,NA,"Exact: The brother was also acquitted at that stage on count 2;

 Comment: Alleged murder

Exact: He and his brother were both acquitted on count 1;

 Comment: Conspiracy to murder","Exact: Harris Farooqi was acquitted;

 Comment: Terrorism",,NA,NA,NA,NA,NA,NA
"Did Offender Confess/Plead Guilty? 
If YES, at what point during proceedings? PleaPoint","Yes/No
If YES, in police presence/at first court appearance/in court after first appearance but before trial/in court at first day of trial/in court after first day of trial/Don’t know",Confess/Plead,NA,"Exact: appellant pleaded guilty;

 Comment: Yes",No,,,No,No,"Exact: offender pleaded guilty;

 Comment: Yes","Exact: He made full admissions and pleaded guilty in the magistrates' court on the occasion of his first appearance;

 Comment: Yes",No,No,No,,No,"Exact: pleaded guilty to the manslaughter;

 Comment: Yes",,,"Exact: pleas of guilty at an early stage;

 Comment: Yes",NO,"Exact: Following his earlier guilty pleas;

 Comment: ","Exact: applicant pleaded guilty to murder;

 Comment: Yes"
,,PleaPoint,NA,"Exact: The magistrates committed the case to the Crown Court for sentence;

 Comment: at first court appearance",NA,"Exact: He too pleaded not guilty to conspiracy to rape but was convicted of it on 18 February 2005.;

 Comment: In court

Exact: In due course S pleaded guilty to nine Counts relating to offences contrary to section 1 of the Protection of Children Act 1978. He pleaded not guilty to the conspiracy but was convicted of it on 18 February 2005.;

 Comment: In court",,NA,NA,"Exact: at the earliest opportunity;

 Comment: Before trial",,NA,NA,NA,,NA,"Exact: pleaded guilty to the manslaughter;

 Comment: At retrial",,,"Exact: pleas of guilty at an early stage;

 Comment: Early stage",NA,Don't know,"Exact: applicant pleaded guilty to murder.  On the same day he was sentenced;

 Comment: At first appearance in court"
"What was the RemandDecision for Offender?
If REMANDED in CUSTODY, duration? RemandCustodyTime","Unconditional Bail/Conditional Bail/ Remanded into custody/Don’t know
If REMANDED in CUSTODY, list how long",RemandDecision,NA,NA,,Don't know,,,Don't know,Don't know,"Exact: Should the court feel that his time on remand;

 Comment: Don't know",,Don't know,"Exact: less time spent in custody on remand;

 Comment: Don't know",,"Exact: remand in custody;

 Comment: Remanded in custody",,Don't know,NA,"Exact: again released on bail;

 Comment: Bail

Exact: bail;

 Comment: Bail",NA,Don't know,
